Member1,Material1,Section1,Area1,Orientation1,Member2,Material2,Section2,Area2,Orientation2,Angle,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Output
190.0,355.0,I,112.0,Z,205.0,235.0,S,15.0,XZ,55.007979801441344,-44.76,0.0,0.22,0.0,-0.41,0.0,1.51,0.0,0.0,0.0,0.0,0.0,7.0
191.0,355.0,I,112.0,Z,200.0,235.0,S,27.0,XZ,55.007979801441344,-38.32,0.05,0.28,0.0,0.15,-0.11,1.0,1.0,1.0,1.0,1.0,1.0,9.0
191.0,355.0,I,112.0,Z,201.0,235.0,S,27.0,XZ,55.007979801441344,-42.88,0.05,0.28,0.0,-0.63,0.04,1.0,1.0,1.0,1.0,1.0,1.0,9.0
192.0,355.0,I,112.0,Z,218.0,235.0,S,27.0,XZ,55.007979801441344,-34.84,-0.08,0.26,0.0,0.09,0.16,1.0,1.0,1.0,1.0,1.0,1.0,9.0
192.0,355.0,I,112.0,Z,219.0,235.0,S,27.0,XZ,55.007979801441344,-39.91,-0.08,0.26,0.0,-0.64,-0.06,1.22,0.0,0.0,0.0,0.0,0.0,9.0
192.0,355.0,I,112.0,Z,220.0,235.0,S,27.0,XZ,55.007979801441344,-39.91,-0.08,0.26,0.0,-0.64,-0.06,1.0,1.0,1.0,1.0,1.0,1.0,9.0
192.0,355.0,I,112.0,Z,221.0,235.0,S,27.0,XZ,55.007979801441344,-34.84,-0.08,0.26,0.0,0.09,0.16,0.38,0.0,0.0,0.0,0.0,0.0,9.0
193.0,355.0,I,131.0,Z,214.0,235.0,S,15.0,XZ,55.007979801441344,-4.64,0.02,0.13,0.0,0.0,-0.03,1.05,0.0,0.0,0.0,0.0,0.0,7.0
193.0,355.0,I,131.0,Z,215.0,235.0,S,15.0,XZ,55.007979801441344,-8.17,0.02,0.13,0.0,-0.36,0.02,1.0,1.0,1.0,1.0,1.0,1.0,7.0
193.0,355.0,I,131.0,Z,216.0,235.0,S,15.0,XZ,55.007979801441344,-8.17,0.02,0.13,0.0,-0.36,0.02,1.0,1.0,1.0,1.0,1.0,1.0,7.0
193.0,355.0,I,131.0,Z,217.0,235.0,S,15.0,XZ,55.007979801441344,-4.64,0.02,0.13,0.0,0.0,-0.03,2.1,0.0,0.0,0.0,0.0,0.0,7.0
193.0,355.0,I,131.0,Z,508.0,235.0,S,27.0,YZ,50.30732684933118,-4.64,0.02,0.13,0.0,0.0,-0.03,1.0,1.0,1.0,1.0,1.0,1.0,7.0
194.0,355.0,I,131.0,Z,210.0,235.0,S,15.0,XZ,55.007979801441344,-3.93,0.0,0.12,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,7.0
194.0,355.0,I,131.0,Z,211.0,235.0,S,15.0,XZ,55.007979801441344,-7.45,0.0,0.12,0.0,-0.33,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
194.0,355.0,I,131.0,Z,212.0,235.0,S,15.0,XZ,55.007979801441344,-7.45,0.0,0.12,0.0,-0.33,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
194.0,355.0,I,131.0,Z,213.0,235.0,S,15.0,XZ,55.007979801441344,-3.93,0.0,0.12,0.0,0.0,0.0,2.06,0.0,0.0,0.0,0.0,0.0,7.0
195.0,355.0,I,131.0,Z,206.0,235.0,S,15.0,XZ,55.007979801441344,-4.62,0.0,0.19,0.0,0.0,-0.01,0.82,0.0,0.0,0.0,0.0,0.0,7.0
